customer_id,name,email,join_date,country
C001,John Doe,john.doe@example.com,2022-01-15,USA
C002,Jane Smith,jane.smith@example.com,2022-02-20,Germany
C003,Peter Jones,peter.jones@example.com,2022-03-10,USA
C004,Maria Garcia,maria.garcia@example.com,2022-04-05,Spain
C005,Chen Wei,chen.wei@example.com,2022-05-21,China
C006,Fatima Al-Fassi,fatima.alfassi@example.com,2022-06-30,USA
C007,Hans Schmidt,hans.schmidt@example.com,2023-01-10,Germany
C008,Yuki Tanaka,yuki.tanaka@example.com,2023-02-18,Japan
C009,David Miller,david.miller@example.com,2023-03-25,Germany
C010,Sophia Williams,sophia.williams@example.com,2023-04-12,UK
